CGPA,Logical_Score,Coding_Score,Speaking_Score,Creativity_Score,Career_Role
9.4,8,4,10,3,Project Manager
7.0,6,5,9,7,Software Developer
9.4,10,10,9,5,Data Scientist
6.8,10,4,10,8,UI/UX Designer
7.2,7,4,10,1,Project Manager
9.1,1,8,7,9,UI/UX Designer
9.0,5,3,10,4,Project Manager
7.2,4,1,5,1,Software Developer
9.9,5,2,7,2,Software Developer
7.2,1,6,8,7,Software Developer
7.7,10,9,8,6,Software Developer
8.1,1,6,7,2,Software Developer
9.2,9,5,9,8,UI/UX Designer
7.2,4,3,8,9,UI/UX Designer
9.2,2,4,9,9,UI/UX Designer
7.8,9,5,4,8,UI/UX Designer
9.5,2,5,4,8,UI/UX Designer
10.0,7,7,10,9,UI/UX Designer
9.3,5,6,9,8,UI/UX Designer
7.2,9,5,1,1,Network Engineer
8.3,10,1,7,4,Software Developer
8.8,2,10,6,5,Software Developer
9.7,3,4,1,6,Software Developer
6.8,7,1,10,6,Project Manager
8.4,10,4,4,10,UI/UX Designer
9.2,9,7,6,3,Network Engineer
7.1,5,8,9,10,UI/UX Designer
8.9,5,5,5,3,Software Developer
6.9,9,9,6,3,Software Developer
6.3,8,8,2,2,Software Developer
7.2,4,10,5,4,Software Developer
10.0,10,10,3,2,Software Developer
6.9,4,3,7,10,UI/UX Designer
6.8,1,1,2,6,Software Developer
8.3,5,6,8,1,Software Developer
7.7,2,8,8,10,UI/UX Designer
9.1,9,5,7,10,UI/UX Designer
9.9,8,1,9,7,Project Manager
7.0,1,10,5,6,Software Developer
7.8,10,7,1,7,Network Engineer
9.1,7,6,8,9,UI/UX Designer
6.9,3,5,10,8,UI/UX Designer
9.7,10,9,8,7,Software Developer
8.4,7,10,8,7,Network Engineer
6.1,6,1,9,1,Project Manager
8.9,5,1,5,7,Software Developer
8.4,9,9,1,4,Software Developer
6.0,9,10,10,9,Software Developer
6.7,1,1,6,4,Software Developer
7.4,8,6,9,4,Network Engineer
6.7,10,8,5,6,Data Scientist
8.8,5,8,3,6,Software Developer
6.1,7,9,7,4,Network Engineer
10.0,3,5,7,6,Software Developer
8.8,5,4,1,4,Software Developer
7.1,10,1,6,2,Software Developer
7.8,5,1,7,8,UI/UX Designer
8.9,1,1,5,6,Software Developer
9.3,6,5,1,8,UI/UX Designer
8.8,8,1,2,9,UI/UX Designer
9.5,3,6,2,4,Software Developer
6.0,2,7,7,7,Software Developer
7.6,10,10,2,9,Data Scientist
9.3,8,3,8,9,UI/UX Designer
8.0,6,2,1,7,Software Developer
9.2,2,7,1,4,Software Developer
7.3,4,9,1,10,UI/UX Designer
9.4,8,10,8,5,Data Scientist
8.8,10,3,9,4,Project Manager
9.0,3,9,3,4,Software Developer
6.7,6,7,5,5,Software Developer
8.0,7,1,10,1,Project Manager
8.4,7,5,9,7,Network Engineer
8.6,7,4,10,10,UI/UX Designer
9.0,4,8,4,6,Software Developer
7.5,10,2,8,4,Project Manager
8.2,10,7,5,5,Network Engineer
10.0,1,4,1,10,UI/UX Designer
7.6,9,10,4,7,Data Scientist
8.7,2,6,8,3,Software Developer
9.0,3,10,7,6,Software Developer
7.9,8,2,9,4,Project Manager
8.5,4,8,1,8,UI/UX Designer
9.4,6,7,4,2,Software Developer
9.3,7,10,2,3,Network Engineer
9.8,3,3,6,10,UI/UX Designer
8.7,10,2,6,10,UI/UX Designer
6.2,1,1,8,9,UI/UX Designer
8.4,10,3,10,1,Project Manager
7.2,7,2,8,10,UI/UX Designer
6.4,2,2,6,2,Software Developer
6.3,10,7,8,4,Network Engineer
9.5,6,1,8,8,UI/UX Designer
6.3,3,6,9,6,Software Developer
9.5,3,1,8,7,Project Manager
6.4,5,6,9,1,Software Developer
8.7,7,10,8,4,Network Engineer
7.1,3,6,6,10,UI/UX Designer
9.8,5,3,8,2,Project Manager
9.7,7,10,6,4,Network Engineer
7.2,6,1,3,5,Software Developer
6.5,6,2,6,3,Software Developer
9.4,5,7,4,1,Software Developer
7.9,7,4,4,9,UI/UX Designer
8.7,2,10,9,8,UI/UX Designer
6.7,6,8,1,8,UI/UX Designer
8.7,10,8,5,8,Software Developer
9.3,8,7,7,9,UI/UX Designer
8.7,3,3,8,9,UI/UX Designer
7.7,2,8,10,2,Software Developer
7.9,6,1,4,1,Software Developer
7.4,2,10,7,8,UI/UX Designer
7.5,2,6,6,1,Software Developer
8.7,5,4,4,4,Software Developer
7.8,10,5,3,1,Network Engineer
9.0,10,3,4,6,Software Developer
6.0,1,5,4,4,Software Developer
6.3,3,8,10,10,UI/UX Designer
9.9,3,8,8,9,UI/UX Designer
9.0,3,2,2,3,Software Developer
7.0,1,6,5,8,UI/UX Designer
7.5,3,5,6,8,UI/UX Designer
8.9,2,5,4,10,UI/UX Designer
6.8,8,5,2,9,UI/UX Designer
6.5,8,8,9,4,Data Scientist
6.5,8,9,3,8,Data Scientist
7.5,2,5,3,7,Software Developer
8.4,2,9,10,6,Software Developer
9.1,6,2,4,6,Software Developer
8.5,2,5,9,8,UI/UX Designer
8.1,4,7,2,7,Software Developer
6.2,8,7,6,10,UI/UX Designer
7.0,7,1,7,10,UI/UX Designer
9.5,1,3,3,10,UI/UX Designer
7.6,5,2,7,9,UI/UX Designer
9.8,4,8,7,9,UI/UX Designer
6.7,6,3,4,6,Software Developer
8.9,8,1,10,6,Project Manager
9.7,10,4,9,2,Project Manager
7.5,8,4,10,1,Project Manager
7.8,1,2,5,7,Software Developer
9.6,2,2,8,8,UI/UX Designer
7.4,9,9,7,1,Software Developer
6.2,6,2,5,8,UI/UX Designer
7.0,2,9,8,10,UI/UX Designer
8.5,10,3,5,8,UI/UX Designer
8.4,1,4,1,10,UI/UX Designer
6.3,9,6,8,1,Network Engineer
8.9,4,5,9,7,Software Developer
9.0,3,9,9,1,Software Developer
9.7,6,7,6,8,UI/UX Designer
9.3,7,5,2,1,Network Engineer
9.3,6,3,7,1,Software Developer
6.1,1,4,4,3,Software Developer
9.2,2,7,7,5,Software Developer
8.4,9,5,1,9,UI/UX Designer
8.0,7,5,2,1,Network Engineer
8.2,2,5,8,6,Software Developer
9.9,6,8,9,8,UI/UX Designer
7.1,5,2,8,4,Project Manager
8.6,4,6,8,8,UI/UX Designer
7.3,6,8,1,2,Software Developer
9.6,3,5,1,7,Software Developer
7.0,1,1,6,10,UI/UX Designer
9.1,8,5,1,9,UI/UX Designer
6.8,10,1,9,3,Project Manager
8.3,10,2,3,2,Software Developer
9.9,1,8,8,10,UI/UX Designer
6.1,3,1,1,6,Software Developer
6.9,6,3,9,3,Project Manager
6.3,9,3,1,2,Software Developer
8.0,6,5,6,9,UI/UX Designer
7.6,4,7,8,6,Software Developer
6.2,7,5,9,8,UI/UX Designer
9.2,4,10,1,8,UI/UX Designer
9.5,9,4,9,9,UI/UX Designer
7.2,4,1,2,7,Software Developer
7.4,7,6,7,6,Network Engineer
9.7,5,6,3,9,UI/UX Designer
6.5,9,8,2,5,Data Scientist
8.2,7,2,3,4,Software Developer
8.5,4,10,7,9,UI/UX Designer
8.1,4,8,9,7,Software Developer
8.3,3,3,8,7,Project Manager
7.5,5,4,1,6,Software Developer
7.1,1,9,1,8,UI/UX Designer
7.3,2,10,9,10,UI/UX Designer
7.3,9,2,9,4,Project Manager
6.0,8,2,10,3,Project Manager
7.8,9,1,5,6,Software Developer
9.5,9,7,9,6,Network Engineer
6.6,6,4,3,2,Software Developer
6.5,10,9,6,3,Software Developer
6.1,7,6,3,3,Network Engineer
9.3,2,6,6,1,Software Developer
6.0,8,2,7,2,Software Developer
9.0,2,3,6,4,Software Developer
6.0,10,6,7,5,Network Engineer
8.7,5,1,3,10,UI/UX Designer
6.9,3,8,5,9,UI/UX Designer
9.9,10,7,9,1,Network Engineer
9.3,3,8,6,8,UI/UX Designer
7.3,2,6,8,1,Software Developer
6.9,8,4,6,9,UI/UX Designer
9.4,8,5,5,7,Network Engineer
7.3,10,6,6,8,UI/UX Designer
7.0,8,3,6,9,UI/UX Designer
8.7,6,3,3,1,Software Developer
9.3,6,9,7,4,Software Developer
9.8,3,2,4,10,UI/UX Designer
9.6,6,6,10,9,UI/UX Designer
10.0,7,9,6,9,UI/UX Designer
8.4,3,2,5,9,UI/UX Designer
6.3,4,7,4,7,Software Developer
6.1,5,5,10,9,UI/UX Designer
7.7,2,8,3,3,Software Developer
6.9,8,8,2,6,Data Scientist
6.4,3,10,2,2,Software Developer
9.2,6,5,3,4,Software Developer
9.0,6,5,7,1,Software Developer
8.3,5,2,8,1,Project Manager
6.4,9,10,10,8,Data Scientist
8.1,10,5,9,7,Network Engineer
8.4,5,3,5,8,UI/UX Designer
9.0,5,7,1,10,UI/UX Designer
7.3,5,1,2,9,UI/UX Designer
6.7,6,2,7,5,Software Developer
7.2,5,9,8,5,Software Developer
8.4,4,7,8,5,Software Developer
6.2,4,2,8,2,Project Manager
7.2,3,1,1,3,Software Developer
7.6,5,4,5,3,Software Developer
9.7,1,3,6,3,Software Developer
6.8,8,1,4,6,Software Developer
7.5,6,9,9,2,Software Developer
7.4,7,7,6,9,UI/UX Designer
6.7,7,8,4,4,Network Engineer
9.9,10,8,6,2,Data Scientist
6.2,9,6,3,7,Network Engineer
6.9,6,6,8,5,Software Developer
7.8,10,3,6,9,UI/UX Designer
8.7,1,5,10,4,Software Developer
6.3,6,10,8,1,Software Developer
6.9,2,7,2,7,Software Developer
9.6,4,1,8,7,Project Manager
6.4,10,10,7,7,Software Developer
9.8,2,2,10,10,UI/UX Designer
8.3,8,7,4,5,Network Engineer
7.3,3,1,3,4,Software Developer
6.7,1,1,1,1,Software Developer
8.9,5,9,10,3,Software Developer
6.8,7,7,6,7,Network Engineer
9.2,8,7,4,2,Network Engineer
6.6,6,7,9,7,Software Developer
6.1,6,3,10,10,UI/UX Designer
9.3,8,4,10,8,UI/UX Designer
7.0,8,3,6,2,Software Developer
8.1,1,8,8,1,Software Developer
8.9,5,8,2,5,Software Developer
6.9,6,1,10,4,Project Manager
7.4,8,5,2,5,Network Engineer
8.5,1,4,10,7,Project Manager
6.5,5,6,2,8,UI/UX Designer
7.7,9,6,3,2,Network Engineer
7.9,4,6,1,5,Software Developer
7.8,4,7,4,9,UI/UX Designer
6.4,6,3,2,9,UI/UX Designer
6.3,1,1,6,1,Software Developer
6.2,3,9,10,6,Software Developer
7.1,4,5,8,5,Software Developer
6.4,7,8,1,6,Network Engineer
7.1,5,9,9,3,Software Developer
8.5,7,10,9,9,UI/UX Designer
7.0,5,3,5,6,Software Developer
8.8,5,5,1,3,Software Developer
6.1,10,1,10,8,UI/UX Designer
6.8,8,10,1,9,Software Developer
8.0,10,8,2,3,Data Scientist
9.0,5,3,7,1,Software Developer
7.5,10,3,3,1,Software Developer
8.9,1,2,6,3,Software Developer
9.5,5,7,5,6,Software Developer
8.7,4,3,4,10,UI/UX Designer
8.1,9,10,5,4,Data Scientist
9.1,4,5,6,9,UI/UX Designer
7.3,10,10,4,1,Software Developer
9.3,7,6,10,2,Network Engineer
6.6,10,8,6,10,Software Developer
6.5,1,2,2,2,Software Developer
7.1,4,10,4,7,Software Developer
8.2,2,10,7,7,Software Developer
7.0,1,6,5,1,Software Developer
9.7,6,3,5,9,UI/UX Designer
7.9,7,6,9,9,UI/UX Designer
8.3,9,3,1,7,Software Developer
7.6,6,3,3,1,Software Developer
7.5,4,7,4,4,Software Developer
6.3,2,10,10,3,Software Developer
6.6,10,4,4,10,UI/UX Designer
8.3,4,6,5,10,UI/UX Designer
9.0,9,1,3,6,Software Developer
10.0,4,5,8,10,UI/UX Designer
9.2,1,6,1,9,UI/UX Designer
6.6,9,8,9,3,Software Developer
9.2,2,6,5,2,Software Developer
7.0,5,1,8,5,Project Manager
8.8,4,6,3,10,UI/UX Designer
7.0,10,8,5,3,Data Scientist
10.0,2,6,2,4,Software Developer
7.2,5,1,9,5,Project Manager
7.3,7,10,9,8,UI/UX Designer
8.7,7,3,7,3,Software Developer
9.5,5,7,1,2,Software Developer
7.1,5,1,4,9,UI/UX Designer
8.1,8,3,9,9,UI/UX Designer
6.9,4,7,1,7,Software Developer
8.9,6,1,7,9,UI/UX Designer
7.1,6,3,6,6,Software Developer
8.8,7,2,3,10,UI/UX Designer
9.0,7,7,9,9,UI/UX Designer
7.8,8,2,7,10,UI/UX Designer
9.4,5,3,9,8,UI/UX Designer
8.1,10,6,4,2,Network Engineer
9.0,3,8,8,5,Software Developer
7.0,3,7,6,5,Software Developer
7.1,9,5,8,2,Network Engineer
6.9,2,7,2,5,Software Developer
9.0,5,6,3,4,Software Developer
7.0,6,2,4,8,UI/UX Designer
7.2,2,8,7,10,UI/UX Designer
8.4,1,8,7,3,Software Developer
7.3,5,5,4,2,Software Developer
6.3,10,3,3,10,UI/UX Designer
7.3,6,4,2,1,Software Developer
8.5,8,9,8,4,Software Developer
8.3,10,8,1,6,Software Developer
9.3,4,7,5,5,Software Developer
8.3,2,7,6,4,Software Developer
8.3,7,10,8,10,UI/UX Designer
9.3,9,2,10,6,Project Manager
7.4,3,5,3,10,UI/UX Designer
9.8,4,9,8,2,Software Developer
6.6,1,1,5,1,Software Developer
7.7,6,9,4,9,UI/UX Designer
8.6,10,9,1,7,Software Developer
6.7,1,8,3,4,Software Developer
10.0,4,3,10,5,Project Manager
9.7,4,5,5,4,Software Developer
6.3,2,6,7,2,Software Developer
7.5,2,6,8,5,Software Developer
9.6,5,3,8,7,Project Manager
7.6,10,10,10,2,Data Scientist
9.5,6,6,4,1,Software Developer
7.2,7,6,9,7,Network Engineer
7.3,10,6,6,5,Network Engineer
7.1,2,5,4,5,Software Developer
7.2,9,3,2,8,UI/UX Designer
8.0,5,10,1,5,Software Developer
8.7,7,5,1,6,Network Engineer
7.3,1,9,7,4,Software Developer
6.8,4,6,1,9,UI/UX Designer
8.1,8,8,7,4,Software Developer
7.1,8,5,5,4,Network Engineer
9.7,10,6,8,8,UI/UX Designer
8.1,6,8,1,2,Software Developer
7.4,10,8,9,8,Software Developer
6.0,3,6,1,10,UI/UX Designer
7.9,8,3,9,7,Project Manager
7.3,6,8,9,7,Software Developer
9.8,8,7,5,4,Network Engineer
9.1,4,10,6,4,Software Developer
7.4,6,7,3,3,Software Developer
7.4,8,9,4,5,Data Scientist
9.6,4,9,4,10,UI/UX Designer
6.1,3,6,2,5,Software Developer
7.1,9,2,8,9,UI/UX Designer
9.0,4,1,8,9,UI/UX Designer
6.9,4,6,7,10,UI/UX Designer
6.9,3,2,4,3,Software Developer
7.3,7,7,6,6,Network Engineer
9.0,5,8,5,6,Software Developer
7.0,2,5,6,1,Software Developer
10.0,2,7,10,10,UI/UX Designer
8.9,10,7,2,6,Network Engineer
7.9,2,3,2,7,Software Developer
8.6,6,4,2,6,Software Developer
6.6,5,6,8,9,UI/UX Designer
6.0,7,5,8,7,Network Engineer
8.1,10,4,8,1,Project Manager
8.1,3,9,7,10,UI/UX Designer
6.8,2,2,4,1,Software Developer
7.8,1,6,8,9,UI/UX Designer
8.9,6,7,6,3,Software Developer
9.0,10,8,10,7,Data Scientist
8.3,5,8,2,1,Software Developer
9.9,5,6,5,3,Software Developer
9.4,10,1,10,10,UI/UX Designer
8.7,7,4,3,2,Software Developer
7.4,2,8,2,8,UI/UX Designer
6.2,9,9,10,4,Data Scientist
8.1,1,4,7,2,Software Developer
6.5,7,4,4,3,Software Developer
9.3,8,5,4,7,Network Engineer
6.9,8,9,9,9,Software Developer
9.1,6,2,9,5,Project Manager
6.9,2,8,7,9,UI/UX Designer
7.4,2,9,10,4,Software Developer
7.3,2,5,3,5,Software Developer
8.3,10,2,1,1,Software Developer
9.6,2,6,6,7,Software Developer
7.8,2,8,5,2,Software Developer
8.3,10,3,2,7,Software Developer
7.9,7,8,9,9,UI/UX Designer
6.8,4,8,9,2,Software Developer
7.0,4,9,6,8,UI/UX Designer
7.6,1,1,2,3,Software Developer
9.6,2,5,10,4,Software Developer
8.3,4,4,8,1,Project Manager
9.3,1,1,8,10,UI/UX Designer
9.0,8,5,9,10,UI/UX Designer
8.4,10,7,10,10,UI/UX Designer
7.2,3,1,1,9,UI/UX Designer
8.9,6,1,4,6,Software Developer
9.4,9,4,5,5,Software Developer
8.9,4,5,3,7,Software Developer
8.0,3,2,1,9,UI/UX Designer
9.6,2,10,9,10,UI/UX Designer
8.5,10,9,2,4,Software Developer
8.4,10,4,9,9,UI/UX Designer
6.8,3,5,1,5,Software Developer
8.8,3,6,2,6,Software Developer
8.8,7,4,4,8,UI/UX Designer
9.4,6,6,1,9,UI/UX Designer
9.9,8,7,7,8,UI/UX Designer
6.2,9,5,6,1,Network Engineer
8.0,7,6,10,6,Network Engineer
7.2,4,6,7,6,Software Developer
9.7,3,4,5,7,Software Developer
7.8,1,1,2,1,Software Developer
7.5,1,9,10,8,UI/UX Designer
8.5,8,6,8,10,UI/UX Designer
8.4,2,6,5,2,Software Developer
7.2,5,10,5,2,Software Developer
9.6,3,1,4,8,UI/UX Designer
9.8,3,8,8,6,Software Developer
7.9,6,2,8,9,UI/UX Designer
6.5,7,7,4,3,Network Engineer
8.2,4,2,7,6,Software Developer
8.5,9,6,3,9,UI/UX Designer
7.3,10,4,2,8,UI/UX Designer
7.7,7,4,1,8,UI/UX Designer
6.7,5,10,4,4,Software Developer
9.0,3,5,10,1,Software Developer
8.4,4,2,6,5,Software Developer
8.3,8,5,7,10,UI/UX Designer
8.7,10,9,5,5,Software Developer
6.6,3,3,2,8,UI/UX Designer
9.9,1,10,5,10,UI/UX Designer
6.4,5,10,2,4,Software Developer
9.3,1,4,6,3,Software Developer
9.2,3,6,8,3,Software Developer
9.2,3,9,5,10,UI/UX Designer
9.5,2,1,1,5,Software Developer
8.6,7,5,5,10,UI/UX Designer
9.4,10,9,1,2,Software Developer
7.7,9,3,3,9,UI/UX Designer
8.0,10,1,4,2,Software Developer
6.7,8,7,2,8,UI/UX Designer
8.3,5,1,10,5,Project Manager
8.6,10,10,4,4,Data Scientist
8.7,2,3,1,5,Software Developer
9.6,7,2,5,3,Software Developer
9.7,1,5,1,10,UI/UX Designer
6.9,3,2,1,3,Software Developer
6.3,5,8,8,2,Software Developer
6.1,4,10,4,5,Software Developer
9.5,2,7,5,9,UI/UX Designer
7.8,3,9,6,7,Software Developer
6.8,10,8,4,10,Software Developer
9.3,10,10,4,5,Data Scientist
7.3,2,3,7,2,Software Developer
6.9,8,8,4,5,Software Developer
8.8,3,3,8,7,Project Manager
8.3,8,8,4,9,Software Developer
8.0,10,3,1,5,Software Developer
7.2,10,7,9,4,Network Engineer
9.2,5,9,7,10,UI/UX Designer
7.2,4,4,4,9,UI/UX Designer
7.0,2,2,5,2,Software Developer
9.9,7,1,10,5,Project Manager
8.8,10,8,4,3,Data Scientist
9.9,1,8,2,6,Software Developer
9.5,7,6,3,2,Network Engineer
8.5,5,10,1,10,UI/UX Designer
6.7,8,3,1,1,Software Developer
8.9,10,5,1,2,Network Engineer
6.4,3,7,5,3,Software Developer
8.2,6,1,1,5,Software Developer
8.1,7,5,9,1,Network Engineer
9.1,5,2,9,7,Project Manager
7.2,9,5,5,8,UI/UX Designer
6.6,4,5,10,9,UI/UX Designer
8.1,4,4,10,3,Project Manager
